time,type_of_advice_or_caution,type_of_advice_or_caution:confidence,what,when,where,category,text_no_rt,tweet,type,type_of_advice_or_caution_gold,user
10/27/2012 14:30,Other,1,"will be closed
New Dramatists will be closed
New Dramatists will be closed","Tuesday Oct. 30
Tuesday Oct. 30
Tuesday Oct. 30",NYC,Informative (Direct),New Dramatists will be closed on Tuesday Oct. 30 due to Hurricane Sandy. Hang in there.,New Dramatists will be closed on Tuesday Oct. 30 due to Hurricane Sandy. Hang in there.,Caution and advice,,NewDramatists
10/27/2012 14:30,Other,1,"Public transit closed
Public transit in NYC will be closed
Public transit will be closed","tomorrow morning
tomorrow morning and remain closed throughout the day
tomorrow morning","NYC
NYC
NYC",Informative (Indirect),Public transit in NYC will be closed tomorrow morning and remain closed throughout the day. http://t.co/WWmlZvHe #Sandy,RT @AntDeRosa: Public transit in NYC will be closed tomorrow morning and remain closed throughout the day. http://t.co/WWmlZvHe #Sandy,Caution and advice,,Stevie_Bo
10/27/2012 14:34,Other,1,"restos playing it by ear during #Sandy
restos playing it by ear during #Sandy
list of what's open","during #Sandy
playing it by ear
n/A","NYC
NYC
NYC",Informative (Indirect),MT @ZagatNYC: NYC restos playing it by ear during #Sandy. Props to @EaterNY on their list of what's open http://t.co/tAbiGqSo @kale1919,MT @ZagatNYC: NYC restos playing it by ear during #Sandy. Props to @EaterNY on their list of what's open ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â® http://t.co/tAbiGqSo @kale1919,Caution and advice,,PaulBell55
10/27/2012 14:37,Other,1,"Mayor is updating New Yorkers
Mayor is updating New Yorkers on #Sandy
updating New Yorkers","LIVE NOW
LIVE NOW
NOW",NYC,Informative (Indirect),LIVE NOW: the Mayor is updating New Yorkers on #Sandy: http://t.co/1y3SaPsl,RT @NYCMayorsOffice: LIVE NOW: the Mayor is updating New Yorkers on #Sandy: http://t.co/1y3SaPsl,Caution and advice,,CarolHelf
10/27/2012 14:40,Other,1,"Alternate side parking and meter regulations are suspended citywide
parking and meter regulations are suspended
are suspended","tomorrow
tomorrow
tomorrow",NYC,Informative (Indirect),Alternate side parking and meter regulations are suspended citywide tomorrow. #Sandy,RT @NYCMayorsOffice: Alternate side parking and meter regulations are suspended citywide tomorrow. #Sandy,Caution and advice,,lauritacruz47
10/27/2012 14:47,Other,1,"All pets are accepted on the subway taxi and trains
pets are accepted on the subway taxi and trains
All pets are accepted during evacuation","during evacuation
during evacuation
n/A","NYC
NYC
subway taxi",Informative (Indirect),AWWWW RT @ASPCA: NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,AWWWW RT @ASPCA: NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,Caution and advice,,camai_
10/27/2012 17:17,Other,1,NYC closing bridges and tunnels,at 7pm,"Brooklyn, Manhattan",Informative (Direct or Indirect),NYC closing bridges and tunnels at 7pm #Sandy,NYC closing bridges and tunnels at 7pm #Sandy,Caution and advice,Other,MikeBeam
10/27/2012 17:24,A hurricane sighting has been reported,1,Hurricane Sandy,n/a,NYC,Informative (Direct or Indirect),Hurricane Sandy or else Frankestorm heading toward NYC http://t.co/OPLYDC2D,RT @KateNinaA: Hurricane Sandy or else Frankestorm heading toward NYC http://t.co/OPLYDC2D,Caution and advice,"A hurricane sighting has been reported
Other",LuciiAgudo
10/27/2012 17:24,Other,1,Find open pharmacies,n/a,NYC,Informative (Direct or Indirect),Find open pharmacies after #Frankenstorm #Sandy in the NYC area @RxResponse @WPIX #PSRT #MedsInDisaster,Find open pharmacies after #Frankenstorm #Sandy in the NYC area @RxResponse @WPIX #PSRT #MedsInDisaster,Caution and advice,Other,RxResponse
10/27/2012 17:31,Other,1,Hurricane Sandy is going to fill the subways with water,n/a,NYC,Informative (Direct or Indirect),Hurricane Sandy is going to fill the subways with water. There will literally be giant underground rivers running beneath NYC. #HolyShit,RT @JessieWessie33: Hurricane Sandy is going to fill the subways with water. There will literally be giant underground rivers running beneath NYC. #HolyShit,Caution and advice,Other,britthanus
10/27/2012 19:00,A hurricane sighting has been reported,1,"Wind gusts over 60 mph
Wind gusts over 60 mph are being reported at Central Park and JFK airport
Wind gusts over 60 mph","this hour
this hour
this hour",NYC,Informative (Indirect),Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour - TWC #Sandy -- @70torinoman (@caribnews),Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour - TWC #Sandy -- @70torinoman (@caribnews),Caution and advice,,adri16
10/27/2012 19:00,Other,1,"offering an update on the city's response to #Sandy
Mayor Bloomberg is offering an update
Mayor Bloomberg is offering an update","N/A
N/A
n/a","NYC
NYC
NYC",Informative (Indirect),NYC Mayor Bloomberg is offering an update on the city's response to #Sandy. You can tune in here: http://t.co/QWZpbEhv,NYC Mayor Bloomberg is offering an update on the city's response to #Sandy. You can tune in here: http://t.co/QWZpbEhv,Caution and advice,,MarketWatch
10/27/2012 19:00,A hurricane warning has been issued or has been lifted,0.6523,"Any time over the next hour It should be here #sandy
Any time over the next hour It should be here
It should be here","Any time over the next hour
Any time over the next hour
over the next hour","NYC
NYC
NYC",Informative (Indirect),Any time over the next hour It should be here #sandy #NYC,Any time over the next hour It should be here #sandy #NYC,Caution and advice,,Sorcha_Ellie
10/27/2012 19:00,Other,1,"City employees should work
City employees should come to work provided they can do so safely
employees should come to work","
N/A
n/a",NYC,Informative (Indirect),NYC Mayor Bloomberg: City employees should come to work provided they can do so safely. #Sandy,RT @TheMatthewKeys: NYC Mayor Bloomberg: City employees should come to work provided they can do so safely. #Sandy,Caution and advice,,SupermanHotMale
10/27/2012 19:14,Other,1,"ConEd may shut down power
ConEd may shut down power in southern Brooklyn and lower Manhattan
may shut down power","N/A
N/A
n/a",NYC,Informative (Indirect),RT @thematthewkeys: NYC Mayor Bloomberg: ConEd may shut down power in southern Brooklyn and lower Manhattan. #Sandy,RT @breakingweather: RT @thematthewkeys: NYC Mayor Bloomberg: ConEd may shut down power in southern Brooklyn and lower Manhattan. #Sandy,Caution and advice,,StephTweet
10/27/2012 20:10,Other,1,"record-breaking storm
Sandy shaping up as record-breaking storm
Sandy shaping up as record-breaking storm","N/A
N/A
n/a",NYC,Informative (Indirect),Hurricane #Sandy shaping up as record-breaking storm. http://t.co/SrOGBdL4,RT @cnnbrk: Hurricane #Sandy shaping up as record-breaking storm. http://t.co/SrOGBdL4,Caution and advice,,DanTRusu
10/27/2012 20:28,Other,1,"Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled
All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled
All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled","Monday 10/29 and Tuesday 10/30
Monday 10/29 and Tuesday 10/30
Monday 10/29 and Tuesday 10/30","NYC
NYC
NYC",Informative (Indirect),UPDATE: All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled. #Sandy More info: http://t.co/lYJ7xUrB,RT @TheBwayLeague: UPDATE: All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled. #Sandy More info: http://t.co/lYJ7xUrB,Caution and advice,,Shirlz1123
10/27/2012 20:34,Other,1,"UNHQ in NYC will be also be closed
UNHQ in NYC will be also be closed on Tuesday
UNHQ in NYC will be also be closed","Tuesday
Tuesday
Tuesday","NYC
NYC
UNHQ in NYC",Informative (Indirect),RT @UN: UNHQ in NYC will be also be closed on Tuesday due to Hurricane #Sandy. More info here: http://t.co/0p90eZIa,RT @UN: UNHQ in NYC will be also be closed on Tuesday due to Hurricane #Sandy. More info here: http://t.co/0p90eZIa,Caution and advice,,sncyf
10/27/2012 20:57,A hurricane sighting has been reported,0.7358,"wind's really picking up
wind
wind's really picking up","N/A
n/a
n/a",NYC,Informative (Direct),The wind's really picking up out there ... #sandy #nyc http://t.co/OJaeiNB9,RT @CitizenWilliams: The wind's really picking up out there ... #sandy #nyc http://t.co/OJaeiNB9,Caution and advice,,philcloh2o
10/27/2012 21:09,A shelter is open or available,0.6537,"need of shelter
If in immediate need of shelter
If in immediate need of shelter","
N/A
n/a",NYC,Informative (Indirect),If in immediate need of shelter please visit http://t.co/Pgxt83by to locate your nearest options. #shelter #Sandy,RT @RedCross: If in immediate need of shelter please visit http://t.co/Pgxt83by to locate your nearest options. #shelter #Sandy,Caution and advice,,jmgreenwell
10/28/2012 6:05,A hurricane sighting has been reported,0.7427,"NYC is now impacted by hurricane
impacted
hurricane #Sandy
impacted by hurricane
hurricane #Sandy
hurricane
impacted by hurricane
impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted
hurricane
hurricane #Sandy
NYC is now impacted by hurricane
impacted by hurricane
impacted by hurricane
hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
hurricane
hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
hurricane #Sandy
impacted by hurricane
Omg NYC is now impacted by hurricane
impacted by hurricane
NYC is now impacted by hurricane","now
now

now
n/a
n/a
N/A
now

now
now
now
now
now

now
N/A
""N/A""

now

now
now
n/a
now
now

N/A
now
now
n/a

now
N/A","NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC",Informative (Direct or Indirect),Omg NYC is now impacted by hurricane #Sandy,Omg NYC is now impacted by hurricane #Sandy,Caution and advice,A hurricane sighting has been reported,BuniYani
10/28/2012 6:08,Other,0.93,"closing of NYC bridges
closing of NYC bridges
GovCuomo orders closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
orders closing of NYC bridges
orders closing of NYC bridges
@NYGovCuomo orders closing of NYC bridges
NYGovCuomo orders closing of NYC bridges
closing of NYC bridges.
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges","close by 7pm
7pm
7pm
n/a
7pm
by 7pm
7pm
7pm
7pm
7pm
7pm
7pm
7pm
Bridges must close by 7pm
by 7pm
by 7pm
by 7pm
7pm
7pm
7pm
7pm

N/A
7pm
7pm
7pm
7pm
7pm
7pm","Brooklyn, Manhattan",Informative (Direct or Indirect),.@NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Bridges must close by 7pm. #Sandy #NYC,RT @weatherchannel: .@NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Bridges must close by 7pm. #Sandy #NYC,Caution and advice,Other,saraha64
10/28/2012 6:08,Other,0.9688,"lights go out
If your lights go out
lights go out
lights go out
If your lights go out
If your lights go out in Toronto it will take a couple hours to a couple of days to restore
If your lights go out
If your lights go out
If your lights go out
lights go out
If your lights go out in Toronto it will take a couple hours to a couple of days to restore
lights go out
If your lights go out
lights go out
If your lights go out
your lights go out
If your lights go out
If your lights go out in Toronto it will take a couple of days to restore them
If your lights go out
If your lights go out
If your lights go out in Toronto it will take a couple hours to a couple of days to restore
If your lights go out
If your lights go out
If your lights go out
lights go out
If your lights go out
lights go out
If your lights go out
If your lights go out in Toronto it will take a couple hours to a couple of days to restore","n/a
n/a
n/a
n/a
couple hours to a couple of days

N/A

couple of days to restore
couple of days


a couple hours to a couple of days
couple of days
couple hours to a couple of days

N/A
A couple of days
a couple hours to a couple of days
a couple hours to a couple of days
N/A
N/A
N/A
N/A
N/A
a couple hours to a couple of days
a couple of days

N/A","Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
in Toronto
Toronto
Toronto
Toronto",Informative (Direct),If your lights go out in Toronto it will take a couple hours to a couple of days to restore. #Sandy,"RT @clickflickca: ""If your lights go out in Toronto it will take a couple hours to a couple of days to restore."" #Sandy",Caution and advice,Other,commoncentsmom
10/28/2012 6:12,Other,1,"water coming out of your faucet
water
water coming out of your faucet
If you have water coming out of your faucet it is safe to drink
If you have water coming out of your faucet it is safe to drink
water coming out of your faucet
If you have water coming out of your faucet it is safe to drink
water coming out of your faucet
water coming out of your faucet it is safe to drink
If you have water coming out of your faucet it is safe to drink
safe water
safe water
it is safe to drink
If you have water coming out of your faucet it is safe to drink
If you have water coming out
water coming out of your faucet
water coming out of your faucet
water coming out of your faucet it is safe to drink
If you have water coming out of your faucet it is safe to drink
water coming out of your faucet
water coming out of your faucet
water coming out of your faucet it is safe to drink","na
n/a
N/A
N/A


N/A
N/A


n/a
n/a
na
N/A
N/A

N/A
n/a



N/A",NYC,Informative (Direct or Indirect),If you have water coming out of your faucet it is safe to drink. #Sandy,RT @NYCMayorsOffice: If you have water coming out of your faucet it is safe to drink. #Sandy,Caution and advice,Other,nathancreitz
10/28/2012 6:12,Other,1,"shut down power
shut down power
ConEd may shut down power","N/A
n/a
N/A",NYC,Informative (Indirect),NYC Mayor Bloomberg: ConEd may shut down power in southern Brooklyn and lower Manhattan. #Sandy,RT @TheMatthewKeys: NYC Mayor Bloomberg: ConEd may shut down power in southern Brooklyn and lower Manhattan. #Sandy,Caution and advice,,ksrgatorfn
10/28/2012 6:12,A hurricane warning has been issued or has been lifted,0.3501,"Cumberland is going to get it hard tonight
going to get it hard tonight by Sandy!!
Cumberland is going to get it hard tonight by Sandy","tonight
tonight
tonight","Cumberland
Cumberland
Cumberland",Informative (Indirect),On the news it says Cumberland is going to get it hard tonight by Sandy!!,RT @XONavajo: On the news it says Cumberland is going to get it hard tonight by Sandy!!,Caution and advice,,LovinMyMistakes
10/28/2012 6:12,Other,1,"closing of NYC bridges
NYGovCuomo orders closing of NYC bridges
closing of NYC bridges","by 7pm
by 7pm.
7pm","NYC
NYC
NYC",Informative (Indirect),RT @weatherchannel: @NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Must close by 7pm. #Sandy,RT @AsburyParkPress: RT @weatherchannel: @NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Must close by 7pm. #Sandy,Caution and advice,,rumsoncds
10/28/2012 6:12,Other,1,"All federal government offices in and around Washington will be closed
government offices in and around Washington will be closed
federal government offices in and around Washington will be closed","Tuesday
Tuesday
Tuesday",Washington,Informative (Indirect),All federal government offices in and around Washington will be closed Tuesday. #HurricaneSandy http://t.co/XEYNBgW0,RT @cnnbrk: All federal government offices in and around Washington will be closed Tuesday. #HurricaneSandy http://t.co/XEYNBgW0,Caution and advice,,UUgeh
10/28/2012 14:23,Other,1,"NYC Hurricane Sandy 2012 Update
Storm to Shut Down City
Storm","n/a
Tuesday
Tuesday","NYC
NYC
NYC",Informative (Indirect),NYC Hurricane Sandy 2012 Update: Storm to Shut Down City on Tuesday http://t.co/ZS97FeGR,NYC Hurricane Sandy 2012 Update: Storm to Shut Down City on Tuesday http://t.co/ZS97FeGR,Caution and advice,,ChrisJACooper
10/28/2012 14:23,A hurricane sighting has been reported,0.6502,"clouds loom
Menacing clouds loom over #NYC
Menacing clouds","
today
today","NYC
NYC
NYC",Informative (Indirect),Menacing clouds loom over #NYC today in advance of Hurricane #Sandy. #Frankenstorm http://t.co/Blm4kUzw,Menacing clouds loom over #NYC today in advance of Hurricane #Sandy. #Frankenstorm http://t.co/Blm4kUzw,Caution and advice,,EMaloneG
10/28/2012 14:23,A shelter is open or available,1,"safe place to stay
shelter info avail.
shelter","
n/a
N/A",NYC,Informative (Indirect),If you need a safe place to stay shelter info avail. in #Hurricane app http://t.co/4qNCbnTW & http://t.co/gtQEoxjS. #Sandy,RT @RedCross: If you need a safe place to stay shelter info avail. in #Hurricane app http://t.co/4qNCbnTW & http://t.co/gtQEoxjS. #Sandy,Caution and advice,,PoppenReport
10/28/2012 14:34,Other,0.6631,"close NYC bridges
close NYC bridges
close NYC bridges","7:00 PM
7:00 PM
7:00 PM","NYC
NYC
NYC",Informative (Indirect),Gov. Cuomo has directed the Port Authority and the MTA to close NYC bridges at 7:00 PM http://t.co/ViLRqyQU #Sandy,RT @nydailynews: Gov. Cuomo has directed the Port Authority and the MTA to close NYC bridges at 7:00 PM http://t.co/ViLRqyQU #Sandy,Caution and advice,,katew
10/28/2012 14:37,Other,0.6502,"marina lower wall/pier
Ready to crest
Ready to crest North Cove marina lower wall/pier","n/a
5:15pm
5:15pm","NYC
North Cove marina lower wall/pier
orth Cove marina",Informative (Indirect),5:15pm Ready to crest North Cove marina lower wall/pier. 4+ft to Esplanade #BPC #NYC @AP @BrianLehrer @Gawker #Sandy,5:15pm Ready to crest North Cove marina lower wall/pier. 4+ft to Esplanade #BPC #NYC @AP @BrianLehrer @Gawker #Sandy,Caution and advice,,dingbat
10/28/2012 14:37,A hurricane sighting has been reported,1,"Hurricane Sandy hits landfall
The latest as Hurricane Sandy hits landfall.
hits landfall","throughout the night
throughout the night
throughout the night",NYC,Informative (Indirect),The latest as Hurricane Sandy hits landfall. Rolling news coverage @SkyNews throughout the night,RT @skynewspip: The latest as Hurricane Sandy hits landfall. Rolling news coverage @SkyNews throughout the night,Caution and advice,,RNorthumberland
10/28/2012 14:44,Other,0.6631,"Limited commuter rail service to resume
Limited commuter rail service to resume
rail service to resume","2 p.m. Wednesday
2 p.m. Wednesday
2 p.m",NYC,Informative (Indirect),RT @NYTMetro: Limited commuter rail service to resume in New York at 2 p.m. Wednesday http://t.co/oi2lnGTm,RT @nytimes: RT @NYTMetro: Limited commuter rail service to resume in New York at 2 p.m. Wednesday http://t.co/oi2lnGTm,Caution and advice,,VivaLaSlim
10/28/2012 19:09,A hurricane warning has been issued or has been lifted,0.3819,"Hurricane Sandy Shelter
Find the Hurricane Sandy Shelter
Find the Hurricane Sandy Shelter","n/a
N/A
n/a",NYC,Informative (Direct),How to Find the Hurricane Sandy Shelter Closest to You http://t.co/QabOr5a1,RT @inhabitat: How to Find the Hurricane Sandy Shelter Closest to You http://t.co/QabOr5a1,Caution and advice,,SoulNav
10/28/2012 19:09,Other,1,"it will take a day or two to recover
it will take a day or two to recover
to recover","a day or two
N/A
a day or two","NYC
NYC
nyc",Informative (Indirect),it will take a day or two to recover...[some things] into the weekend--@mikeBloomberg #sandy #nyc,"RT @azipaybarah: ""it will take a day or two to recover...[some things] into the weekend""--@mikeBloomberg #sandy #nyc",Caution and advice,,faiza_n_ali
10/28/2012 19:41,Other,1,"closing of NYC bridges
@NYGovCuomo orders closing of NYC bridges
closing of NYC bridges","by 7pm
7pm
7pm","Brooklyn, Manhattan",Informative (Indirect),.@NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Bridges must close by 7pm. #Sandy #NYC,RT @weatherchannel: .@NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Bridges must close by 7pm. #Sandy #NYC,Caution and advice,,MichelleRafter
10/28/2012 19:41,Other,0.7358,"closing of NYC bridges
closing of NYC bridges
closing of NYC bridges","by 7pm
n/a
7pm","Brooklyn, Manhattan",Informative (Indirect),.@NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Bridges must close by 7pm. #Sandy #NYC,RT @weatherchannel: .@NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Bridges must close by 7pm. #Sandy #NYC,Caution and advice,,Nelmcadoo
10/28/2012 19:44,Other,1,"Bellevue Hospital Set to Evacuate
Bellevue Hospital Set to Evacuate
Hospital Set to Evacuate","N/A
n/a
n/a",NYC,Informative (Indirect),NYC's Bellevue Hospital Set to Evacuate - ABC News: ABC NewsNYC's Bellevue Hospital Set to EvacuateABC NewsNew Y... http://t.co/OqAnDoHf,NYC's Bellevue Hospital Set to Evacuate - ABC News: ABC NewsNYC's Bellevue Hospital Set to EvacuateABC NewsNew Y... http://t.co/OqAnDoHf,Caution and advice,,1sthealthnews
10/28/2012 19:49,A shelter is open or available,0.6386,"ALL evacuation shelters are pet friendly
ALL evacuation shelters are pet friendly
evacuation shelters are pet friendly - don't leave your pets behind","N/A
N/A
n/a","NYC
NYC
NYC",Informative (Indirect),NYC ALERT: ALL evacuation shelters are pet friendly - don't leave your pets behind! http://t.co/Xs6MngZp #SANDY #sandypets,RT @ASPCA: NYC ALERT: ALL evacuation shelters are pet friendly - don't leave your pets behind! http://t.co/Xs6MngZp #SANDY #sandypets,Caution and advice,,Daneeo1985
10/28/2012 19:56,A hurricane warning has been issued or has been lifted,0.3645,"The most severe part of the storm
most severe part of the storm is now beginning
severe part of the storm is now beginning","now
now
now","NYC
NYC
NYC",Informative (Indirect),The most severe part of the storm is now beginning-Mayor Bloomberg. NYC #Sandy,"RT @MiaFarrow: ""The most severe part of the storm is now beginning""-Mayor Bloomberg. NYC #Sandy",Caution and advice,,longfellow520
10/28/2012 20:06,A hurricane warning has been issued or has been lifted,0.7122,"state of emergency
9 states along Mid-Atlantic coast declare state of emergency
declare state of emergency","N/A
N/A
n/a",NYC,Informative (Indirect),9 states along Mid-Atlantic coast declare state of emergency-info&updates here + evac zone maps/guides for #NYC http://t.co/xuL3kt1a #Sandy,RT @katiecouric: 9 states along Mid-Atlantic coast declare state of emergency-info&updates here + evac zone maps/guides for #NYC http://t.co/xuL3kt1a #Sandy,Caution and advice,,HotmaMejia
